,product_id,brand,name,date,rating,advantages,disadvantages,comment,all_reviews,vader_score,textblob_score
0,491037254,Welldone,Пользователь предпочёл скрыть свои данные,21 Мая 2023,3.0,vegan look like ordinary cutlet quite tasty stink cooking lot protein,texture strange normal look like lump sharp although may plus reason pour something like juice oil two piece package cool quickly,,vegan look like ordinary cutlet quite tasty stink cooking lot protein texture strange normal look like lump sharp although may plus reason pour something like juice oil two piece package cool quickly ,0.6151,0.06805555555555555
1,491037254,Welldone,Алеся Х.,1 Апреля 2023,5.0,meatfree delicious,high cutlet take time fry core unlike another company,promotion profitable fasting vegetarian tomato sauce delicious,meatfree delicious high cutlet take time fry core unlike another company promotion profitable fasting vegetarian tomato sauce delicious,0.8834,0.7200000000000001
2,491037254,Welldone,Лилия Ш.,2 Декабря 2022,5.0,delicious cutlet entire nineyear vegetarian lifethey thick large juicy even first afraid meat structure taste similar general recommend,none everything perfect,made burger oh used restaurant would become richer,delicious cutlet entire nineyear vegetarian lifethey thick large juicy even first afraid meat structure taste similar general recommend none everything perfect made burger oh used restaurant would become richer,0.7651,0.17936507936507937
3,491037254,Welldone,Анна Р.,15 Мая 2023,5.0,good nt look much like meat look like,frostbitten one came lot fat frying although good leaked frying pan,,good nt look much like meat look like frostbitten one came lot fat frying although good leaked frying pan ,0.8176,0.27499999999999997
4,491037254,Welldone,Руссо Оксана,27 Марта 2023,3.0,cool trend towards vegan food,tasty,chicken cutlet like taste plus turned salty good package small trial nt think look like chicken nt remember like even without thinking look like still taste wrong unpleasant read completely,cool trend towards vegan food tasty chicken cutlet like taste plus turned salty good package small trial nt think look like chicken nt remember like even without thinking look like still taste wrong unpleasant read completely,0.5252,-0.18124999999999997
5,491037254,Welldone,Алина В.,22 Октября 2022,5.0,excellent cutlet mom vegan love much,,,excellent cutlet mom vegan love much  ,0.836,0.5666666666666667
6,491037254,Welldone,Пользователь предпочёл скрыть свои данные,24 Апреля 2023,3.0,nt know,lying couch suddenly decided become vegan well try change mind right away filth rare,,nt know lying couch suddenly decided become vegan well try change mind right away filth rare ,-0.3182,0.1952380952380952
7,491037254,Welldone,Павел Р.,25 Апреля 2023,4.0,juicy taste cutlet appearance,seemed lot salt,general good hearty lunch,juicy taste cutlet appearance seemed lot salt general good hearty lunch,0.4404,0.375
8,491037254,Welldone,Ольга П.,14 Мая 2023,5.0,delicious cutlet,,,delicious cutlet  ,0.5719,1.0
9,491037254,Welldone,Луиза Т.,27 Марта 2023,5.0,delicious hearty cutlet even meateating grandmother liked nt need knife break readymade cutlet fork,,take thank good food meat,delicious hearty cutlet even meateating grandmother liked nt need knife break readymade cutlet fork  take thank good food meat,0.8979,0.7666666666666666
